Public Authority,Category,Foi Email,Website
Hertfordshire County Council,Council (Borough/Disctrict/City),contact@hertfordshire.gov.uk,http://www.hertsdirect.org/your-council/work/foi/
Kent County Council,Council (Borough/Disctrict/City),freedomofinformation@kent.gov.uk,http://www.kent.gov.uk/your_council/contact_us/access_to_information/freedom_of_information.aspx
Lancashire County Council,Council (Borough/Disctrict/City),freedomofinformation@lancashire.gov.uk,http://www3.lancashire.gov.uk/corporate/atoz/a_to_z/service.asp?u_id=3389&tab=1
Leicestershire County Council,Council (Borough/Disctrict/City),foi@leics.gov.uk,http://www.leics.gov.uk/service.htm?initial=A&pid=722
Lincolnshire County Council,Council (Borough/Disctrict/City),foi@lincolnshire.gov.uk,http://www.lincolnshire.gov.uk/local-democracy/information-governance/freedom-of-information/
Norfolk County Council,Council (Borough/Disctrict/City),foi@norfolk.gov.uk,http://www.norfolk.gov.uk/Council_and_democracy/Freedom_of_information/index.htm
Northamptonshire County Council,Council (Borough/Disctrict/City),FreedomofInformation@northamptonshire.gov.uk,http://www.northamptonshire.gov.uk/en/councilservices/council/transparency/pages/foirequests.aspx
Northumberland County Council,Council (Borough/Disctrict/City),FOI@Northumberland.gov.uk,http://www.northumberland.gov.uk/default.aspx?page=389
North Yorkshire County Council,Council (Borough/Disctrict/City),infogov@northyorks.gov.uk,http://www.northyorks.gov.uk/index.aspx?articleid=2910
Nottinghamshire County Council,Council (Borough/Disctrict/City),enquiries@nottscc.gov.uk,http://cms.nottinghamshire.gov.uk/home/your_council/accesstoinfo-foi/foi-freedomofinformation.htm
Oxfordshire County Council,Council (Borough/Disctrict/City),foi@oxfordshire.gov.uk,http://www.oxfordshire.gov.uk/cms/content/freedom-information
Powys County Council,Council (Borough/Disctrict/City),foi.queries@powys.gov.uk,http://www.powys.gov.uk/index.php?id=3631&L=0
Rhondda Cynon Taf County Borough Council,Council (Borough/Disctrict/City),FreedomOfInformation@rhondda-cynon-taff.gov.uk,http://www.rctcbc.gov.uk/en/councildemocracy/dataprotectionfreedomofinformation/freedomofinformationact/freedomofinformationact.aspx
Rutland County Council,Council (Borough/Disctrict/City),foi@rutland.gov.uk,http://www.rutland.gov.uk/council_and_democracy/open_data_including_foi__dat/freedom_of_information.aspx
Somerset County Council,Council (Borough/Disctrict/City),informationrequest@somerset.gov.uk,http://www.somerset.gov.uk/irj/public/services/directory/service?rid=/wpccontent/Sites/SCC/Web%20Pages/Services/Services/Resources/Request%20information%20under%20the%20Freedom%20of%20Information%20Act
Staffordshire County Council,Council (Borough/Disctrict/City),foi@staffordshire.gov.uk,http://www.staffordshire.gov.uk/yourcouncil/dataprotectionandfreedomofinformation/homepage.aspx
Suffolk County Council,Council (Borough/Disctrict/City),foi@suffolk.gov.uk,http://www.suffolk.gov.uk/about/contact-us/freedom-of-information/
Surrey County Council,Council (Borough/Disctrict/City),foi@surreycc.gov.uk,http://www.surreycc.gov.uk/your-council/accessing-information-that-we-hold/freedom-of-information
Torfaen County Borough,Council (Borough/Disctrict/City),foi@torfaen.gov.uk,http://www.torfaen.gov.uk/en/CouncilDemocracy/DataProtectionFreedomofInformation/FreedomofInformationAct/Freedom-of-Information.aspx
Warwickshire County Council,Council (Borough/Disctrict/City),foi@warwickshire.gov.uk,http://www.warwickshire.gov.uk/web/corporate/pages.nsf/Links/222ABC4CB372389C80256F56003A5885
West Sussex County Council *,Council (Borough/Disctrict/City),FOI@westsussex.gov.uk,http://www.westsussex.gov.uk/your_council/about_west_sussex_county/freedom_of_information.aspx
Worcestershire County Council,Council (Borough/Disctrict/City),foi@worcestershire.gov.uk,http://www.worcestershire.gov.uk/cms/information-management/make-a-foi-or-eir-request.aspx
Wrexham County Borough Council,Council (Borough/Disctrict/City),foi@wrexham.gov.uk,http://www.wrexham.gov.uk/top_navigation/foi.htm
